almacen,codigo,producto,categoria,unidad,saldo,saldo_fisico,por_ingresar,transito,salida_espera,reservas,saldo_virtual
LIM/Existencias,0203008,"Tubo RECT 1""X2""X0.75mX6.0m",Rectangular,Unit(s),0,0,1008.000,0,0,0,1008.000
LIM/Existencias,0203010,"Tubo RECT 1""X2""X0.9mX6.0m",Rectangular,Unit(s),0,0,24292.000,0,0,0,24292.000
LIM/Existencias,0203011,"Tubo RECT 1""X2""X1.2mX6.0m",Rectangular,Unit(s),0,0,14960.000,0,0,0,14960.000
LIM/Existencias,0203013,"Tubo RECT 1""X2""X2.0mX6.0m LAC",Rectangular,Unit(s),0,0,900.000,0,0,0,900.000
LIM/Existencias,0203018,Tubo RECT 40X60X1.2mX6.0m,Rectangular,Unit(s),0,0,10236.000,0,0,0,10236.000
LIM/Existencias,0203021,Tubo RECT 40X60X2.0mX6.0m LAC ,Rectangular,Unit(s),0,0,1800.000,0,0,0,1800.000
LIM/Existencias,0203022,Tubo RECT 40X60X2.5mX6.0m,Rectangular,Unit(s),0,0,100.000,0,0,0,100.000
LIM/Existencias,0203023,Tubo RECT 40X80X1.2mX6.0m,Rectangular,Unit(s),0,0,1645.000,0,0,0,1645.000
LIM/Existencias,0203025,Tubo RECT 40X80X2.0mX6.0m LAC PR,Rectangular,Unit(s),0,0,1680.000,0,0,0,1680.000
LIM/Existencias,0203031,Tubo RECT 50X70X2.0mX6.0m LAC,Rectangular,Unit(s),0,0,1060.000,0,0,0,1060.000
LIM/Existencias,0203032,Tubo RECT 100X50X2.0mX6.0m LAC,Rectangular,Unit(s),0,0,440.000,0,0,0,440.000
LIM/Existencias,0203034,Tubo RECT 100X50X3.0mX6.0m LAC,Rectangular,Unit(s),0,0,340.000,0,0,0,340.000
LIM/Existencias,0203036,Tubo RECT 150X50X2.5mX6.0m LAC,Rectangular,Unit(s),0,0,460.000,0,0,0,460.000
LIM/Existencias,0203037,Tubo RECT 150X50X3.0mX6.0m LAC,Rectangular,Unit(s),0,0,240.000,0,0,0,240.000
LIM/Existencias,0203039,"Tubo RECT 1""X2""X0.8mX6.0m",Rectangular,Unit(s),0,0,2520.000,0,0,0,2520.000
LIM/Existencias,0203040,Tubo RECT 40X80X1.8mX6.0m LAC PR,Rectangular,Unit(s),0,0,1400.000,0,0,0,1400.000
LIM/Existencias,0203041,Tubo RECT 50X25X1.8mX6.0m LAC PR,Rectangular,Unit(s),0,0,2100.000,0,0,0,2100.000
LIM/Existencias,0203042,Tubo RECT 100X50X1.8mX6.0m LAC,Rectangular,Unit(s),0,0,528.000,0,0,0,528.000
LIM/Existencias,0203047,"Tubo RECT 1""X2""X1.8mX6.0m LAC",Rectangular,Unit(s),0,0,1000.000,0,0,0,1000.000
LIM/Existencias,0203048,Tubo RECT 40X80X1.5mX6.0m LAC,Rectangular,Unit(s),0,0,1740.000,0,0,0,1740.000
LIM/Existencias,0203049,Tubo RECT 40X80X1.8mX6.0m LAC,Rectangular,Unit(s),0,0,1720.000,0,0,0,1720.000
LIM/Existencias,0203052,Tubo RECT 40X60X1.5mX6.0m LAC,Rectangular,Unit(s),0,0,2400.000,0,0,0,2400.000
LIM/Existencias,0202005,"Tubo CUAD 5/8""X0.8mX6.0m",Cuadrado,Unit(s),0,0,2057.000,0,0,0,2057.000
